region,hotel_name,date,occupancy_rate,bookings,cancellations,revenue,stars
Tunis,Laico Tunis Hotel,2024-01-01,0.79,92,10,10120,4
Tunis,Hotel Africa Tunis,2024-01-01,0.91,77,3,9933,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-01,0.83,156,12,43056,5
Sousse,El Mouradi Palace,2024-01-01,0.8,209,23,31350,4
Sousse,Marhaba Beach Hotel,2024-01-01,0.85,122,4,13908,4
Sousse,Riadh Palms Resort,2024-01-01,0.74,94,6,9964,4
Hammamet,La Badira,2024-01-01,0.98,70,5,16170,5
Hammamet,Iberostar Averroes,2024-01-01,0.83,185,7,32930,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-01,0.98,158,7,47558,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-01,0.86,215,18,56115,5
Djerba,Iberostar Mehari Djerba,2024-01-01,0.86,91,9,12194,4
Djerba,Vincci Helios Beach,2024-01-01,0.72,130,14,18980,4
Monastir,Hilton Skanes Monastir Beach,2024-01-01,0.87,221,20,49504,5
Monastir,One Resort Monastir,2024-01-01,0.72,139,13,18765,4
Monastir,Delphin El Habib,2024-01-01,0.58,110,7,6710,3
Tunis,Laico Tunis Hotel,2024-01-02,0.75,138,8,23736,4
Tunis,Hotel Africa Tunis,2024-01-02,0.86,234,12,38844,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-02,0.83,160,7,46240,5
Sousse,El Mouradi Palace,2024-01-02,0.8,150,13,21000,4
Sousse,Marhaba Beach Hotel,2024-01-02,0.72,171,10,23598,4
Sousse,Riadh Palms Resort,2024-01-02,0.83,126,5,17388,4
Hammamet,La Badira,2024-01-02,0.9,189,6,55755,5
Hammamet,Iberostar Averroes,2024-01-02,0.79,205,24,20500,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-02,0.98,149,10,34866,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-02,0.85,70,3,18550,5
Djerba,Iberostar Mehari Djerba,2024-01-02,0.77,144,9,23616,4
Djerba,Vincci Helios Beach,2024-01-02,0.67,222,6,25530,4
Monastir,Hilton Skanes Monastir Beach,2024-01-02,0.98,84,3,25620,5
Monastir,One Resort Monastir,2024-01-02,0.73,225,8,37350,4
Monastir,Delphin El Habib,2024-01-02,0.69,91,3,6097,3
Tunis,Laico Tunis Hotel,2024-01-03,0.67,161,18,27692,4
Tunis,Hotel Africa Tunis,2024-01-03,0.93,107,10,18404,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-03,0.84,148,17,51504,5
Sousse,El Mouradi Palace,2024-01-03,0.8,172,9,26144,4
Sousse,Marhaba Beach Hotel,2024-01-03,0.68,174,17,29754,4
Sousse,Riadh Palms Resort,2024-01-03,0.87,113,7,13334,4
Hammamet,La Badira,2024-01-03,0.87,110,4,28820,5
Hammamet,Iberostar Averroes,2024-01-03,0.78,236,16,34456,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-03,0.83,121,9,41019,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-03,0.87,55,2,14575,5
Djerba,Iberostar Mehari Djerba,2024-01-03,0.72,185,17,20905,4
Djerba,Vincci Helios Beach,2024-01-03,0.71,133,6,15694,4
Monastir,Hilton Skanes Monastir Beach,2024-01-03,0.98,91,9,30849,5
Monastir,One Resort Monastir,2024-01-03,0.67,159,19,26553,4
Monastir,Delphin El Habib,2024-01-03,0.75,136,8,12784,3
Tunis,Laico Tunis Hotel,2024-01-04,0.74,119,13,12257,4
Tunis,Hotel Africa Tunis,2024-01-04,0.93,134,10,19966,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-04,0.86,239,21,60228,5
Sousse,El Mouradi Palace,2024-01-04,0.8,102,10,12240,4
Sousse,Marhaba Beach Hotel,2024-01-04,0.66,185,13,25160,4
Sousse,Riadh Palms Resort,2024-01-04,0.9,136,15,19856,4
Hammamet,La Badira,2024-01-04,0.87,223,16,45269,5
Hammamet,Iberostar Averroes,2024-01-04,0.85,185,12,23680,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-04,0.98,201,8,53265,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-04,0.98,183,5,47763,5
Djerba,Iberostar Mehari Djerba,2024-01-04,0.93,82,3,14186,4
Djerba,Vincci Helios Beach,2024-01-04,0.81,233,9,36348,4
Monastir,Hilton Skanes Monastir Beach,2024-01-04,0.97,194,11,41128,5
Monastir,One Resort Monastir,2024-01-04,0.72,159,11,22578,4
Monastir,Delphin El Habib,2024-01-04,0.63,202,12,13130,3
Tunis,Laico Tunis Hotel,2024-01-05,0.91,178,15,27590,4
Tunis,Hotel Africa Tunis,2024-01-05,0.81,151,8,23858,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-05,0.97,118,13,41182,5
Sousse,El Mouradi Palace,2024-01-05,0.83,58,5,7714,4
Sousse,Marhaba Beach Hotel,2024-01-05,0.92,167,6,20708,4
Sousse,Riadh Palms Resort,2024-01-05,0.9,110,9,12210,4
Hammamet,La Badira,2024-01-05,0.86,149,11,31141,5
Hammamet,Iberostar Averroes,2024-01-05,0.87,231,8,24255,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-05,0.89,155,7,33170,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-05,0.86,136,5,33592,5
Djerba,Iberostar Mehari Djerba,2024-01-05,0.73,232,27,41760,4
Djerba,Vincci Helios Beach,2024-01-05,0.89,157,5,28103,4
Monastir,Hilton Skanes Monastir Beach,2024-01-05,0.92,101,7,27371,5
Monastir,One Resort Monastir,2024-01-05,0.74,59,3,9145,4
Monastir,Delphin El Habib,2024-01-05,0.82,141,6,8883,3
Tunis,Laico Tunis Hotel,2024-01-06,0.71,143,16,24024,4
Tunis,Hotel Africa Tunis,2024-01-06,0.69,170,15,22950,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-06,0.96,163,17,35534,5
Sousse,El Mouradi Palace,2024-01-06,0.83,192,11,25536,4
Sousse,Marhaba Beach Hotel,2024-01-06,0.92,126,13,14868,4
Sousse,Riadh Palms Resort,2024-01-06,0.81,86,8,12556,4
Hammamet,La Badira,2024-01-06,0.93,70,5,19390,5
Hammamet,Iberostar Averroes,2024-01-06,0.68,66,4,7260,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-06,0.87,191,20,36099,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-06,0.98,68,2,21284,5
Djerba,Iberostar Mehari Djerba,2024-01-06,0.71,115,9,13455,4
Djerba,Vincci Helios Beach,2024-01-06,0.82,143,15,15730,4
Monastir,Hilton Skanes Monastir Beach,2024-01-06,0.98,141,16,31443,5
Monastir,One Resort Monastir,2024-01-06,0.86,68,4,11356,4
Monastir,Delphin El Habib,2024-01-06,0.79,202,15,14342,3
Tunis,Laico Tunis Hotel,2024-01-07,0.92,140,10,15960,4
Tunis,Hotel Africa Tunis,2024-01-07,0.81,78,7,7878,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-07,0.98,146,14,47596,5
Sousse,El Mouradi Palace,2024-01-07,0.77,60,6,9720,4
Sousse,Marhaba Beach Hotel,2024-01-07,0.8,107,5,18297,4
Sousse,Riadh Palms Resort,2024-01-07,0.88,129,5,21801,4
Hammamet,La Badira,2024-01-07,0.98,148,5,37148,5
Hammamet,Iberostar Averroes,2024-01-07,0.69,155,7,23095,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-07,0.83,235,16,54285,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-07,0.88,235,27,51465,5
Djerba,Iberostar Mehari Djerba,2024-01-07,0.73,141,4,18189,4
Djerba,Vincci Helios Beach,2024-01-07,0.76,57,3,8151,4
Monastir,Hilton Skanes Monastir Beach,2024-01-07,0.89,122,9,30866,5
Monastir,One Resort Monastir,2024-01-07,0.8,140,4,19320,4
Monastir,Delphin El Habib,2024-01-07,0.58,204,19,17748,3
Tunis,Laico Tunis Hotel,2024-01-08,0.72,210,7,26460,4
Tunis,Hotel Africa Tunis,2024-01-08,0.79,138,10,15180,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-08,0.98,108,9,36936,5
Sousse,El Mouradi Palace,2024-01-08,0.8,209,22,23408,4
Sousse,Marhaba Beach Hotel,2024-01-08,0.82,154,10,20636,4
Sousse,Riadh Palms Resort,2024-01-08,0.7,228,18,39444,4
Hammamet,La Badira,2024-01-08,0.84,232,19,52432,5
Hammamet,Iberostar Averroes,2024-01-08,0.83,59,5,6077,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-08,0.9,135,13,28215,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-08,0.98,182,14,34762,5
Djerba,Iberostar Mehari Djerba,2024-01-08,0.66,224,15,28672,4
Djerba,Vincci Helios Beach,2024-01-08,0.82,176,5,19184,4
Monastir,Hilton Skanes Monastir Beach,2024-01-08,0.98,162,8,48762,5
Monastir,One Resort Monastir,2024-01-08,0.79,114,8,17556,4
Monastir,Delphin El Habib,2024-01-08,0.6,188,8,18612,3
Tunis,Laico Tunis Hotel,2024-01-09,0.88,196,14,34300,4
Tunis,Hotel Africa Tunis,2024-01-09,0.75,239,15,28202,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-09,0.92,88,9,28688,5
Sousse,El Mouradi Palace,2024-01-09,0.76,242,11,41140,4
Sousse,Marhaba Beach Hotel,2024-01-09,0.82,158,12,21488,4
Sousse,Riadh Palms Resort,2024-01-09,0.77,130,14,22620,4
Hammamet,La Badira,2024-01-09,0.98,163,8,32926,5
Hammamet,Iberostar Averroes,2024-01-09,0.81,122,14,13176,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-09,0.83,103,8,22042,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-09,0.94,190,6,65170,5
Djerba,Iberostar Mehari Djerba,2024-01-09,0.92,179,13,26492,4
Djerba,Vincci Helios Beach,2024-01-09,0.68,237,19,34839,4
Monastir,Hilton Skanes Monastir Beach,2024-01-09,0.98,84,8,20160,5
Monastir,One Resort Monastir,2024-01-09,0.75,127,7,13843,4
Monastir,Delphin El Habib,2024-01-09,0.57,116,6,12064,3
Tunis,Laico Tunis Hotel,2024-01-10,0.93,97,8,10864,4
Tunis,Hotel Africa Tunis,2024-01-10,0.69,63,7,6867,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-10,0.89,99,3,18117,5
Sousse,El Mouradi Palace,2024-01-10,0.74,110,10,15400,4
Sousse,Marhaba Beach Hotel,2024-01-10,0.68,68,7,8160,4
Sousse,Riadh Palms Resort,2024-01-10,0.74,70,6,8960,4
Hammamet,La Badira,2024-01-10,0.98,115,6,38180,5
Hammamet,Iberostar Averroes,2024-01-10,0.67,110,10,19800,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-10,0.88,71,8,19525,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-10,0.86,225,25,68400,5
Djerba,Iberostar Mehari Djerba,2024-01-10,0.73,204,24,29988,4
Djerba,Vincci Helios Beach,2024-01-10,0.92,84,4,9828,4
Monastir,Hilton Skanes Monastir Beach,2024-01-10,0.94,182,20,58058,5
Monastir,One Resort Monastir,2024-01-10,0.8,105,12,14490,4
Monastir,Delphin El Habib,2024-01-10,0.68,204,11,22236,3
Tunis,Laico Tunis Hotel,2024-01-11,0.7,217,18,35805,4
Tunis,Hotel Africa Tunis,2024-01-11,0.88,71,5,11999,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-11,0.83,108,6,26784,5
Sousse,El Mouradi Palace,2024-01-11,0.76,119,14,14518,4
Sousse,Marhaba Beach Hotel,2024-01-11,0.93,183,17,26718,4
Sousse,Riadh Palms Resort,2024-01-11,0.92,156,6,21840,4
Hammamet,La Badira,2024-01-11,0.98,221,22,66521,5
Hammamet,Iberostar Averroes,2024-01-11,0.67,217,6,33418,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-11,0.94,56,4,15792,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-11,0.83,192,10,51264,5
Djerba,Iberostar Mehari Djerba,2024-01-11,0.87,132,4,13728,4
Djerba,Vincci Helios Beach,2024-01-11,0.87,112,9,14896,4
Monastir,Hilton Skanes Monastir Beach,2024-01-11,0.98,203,10,42224,5
Monastir,One Resort Monastir,2024-01-11,0.8,113,6,16611,4
Monastir,Delphin El Habib,2024-01-11,0.64,106,5,7950,3
Tunis,Laico Tunis Hotel,2024-01-12,0.84,103,7,13184,4
Tunis,Hotel Africa Tunis,2024-01-12,0.81,240,21,31680,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-12,0.95,84,5,27132,5
Sousse,El Mouradi Palace,2024-01-12,0.93,177,10,29382,4
Sousse,Marhaba Beach Hotel,2024-01-12,0.84,96,8,13152,4
Sousse,Riadh Palms Resort,2024-01-12,0.86,148,15,20868,4
Hammamet,La Badira,2024-01-12,0.86,123,7,39237,5
Hammamet,Iberostar Averroes,2024-01-12,0.74,95,8,16055,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-12,0.95,63,3,15498,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-12,0.98,102,10,28152,5
Djerba,Iberostar Mehari Djerba,2024-01-12,0.7,95,3,16245,4
Djerba,Vincci Helios Beach,2024-01-12,0.83,93,9,15996,4
Monastir,Hilton Skanes Monastir Beach,2024-01-12,0.97,66,2,15114,5
Monastir,One Resort Monastir,2024-01-12,0.92,239,19,35372,4
Monastir,Delphin El Habib,2024-01-12,0.81,82,9,8364,3
Tunis,Laico Tunis Hotel,2024-01-13,0.82,163,14,28525,4
Tunis,Hotel Africa Tunis,2024-01-13,0.7,100,3,12300,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-13,0.98,88,9,25256,5
Sousse,El Mouradi Palace,2024-01-13,0.82,194,14,22504,4
Sousse,Marhaba Beach Hotel,2024-01-13,0.85,90,6,12060,4
Sousse,Riadh Palms Resort,2024-01-13,0.89,62,6,10788,4
Hammamet,La Badira,2024-01-13,0.83,97,8,29100,5
Hammamet,Iberostar Averroes,2024-01-13,0.84,122,3,20984,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-13,0.98,182,15,63154,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-13,0.87,156,13,46332,5
Djerba,Iberostar Mehari Djerba,2024-01-13,0.8,237,14,30099,4
Djerba,Vincci Helios Beach,2024-01-13,0.73,80,3,8560,4
Monastir,Hilton Skanes Monastir Beach,2024-01-13,0.98,237,27,73470,5
Monastir,One Resort Monastir,2024-01-13,0.81,210,10,21420,4
Monastir,Delphin El Habib,2024-01-13,0.77,181,18,18100,3
Tunis,Laico Tunis Hotel,2024-01-14,0.78,193,10,28178,4
Tunis,Hotel Africa Tunis,2024-01-14,0.84,206,23,26986,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-14,0.95,77,3,24563,5
Sousse,El Mouradi Palace,2024-01-14,0.67,184,21,31280,4
Sousse,Marhaba Beach Hotel,2024-01-14,0.76,75,6,12750,4
Sousse,Riadh Palms Resort,2024-01-14,0.79,121,13,17545,4
Hammamet,La Badira,2024-01-14,0.86,190,20,51110,5
Hammamet,Iberostar Averroes,2024-01-14,0.79,205,8,32185,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-14,0.84,218,11,43382,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-14,0.84,165,14,52305,5
Djerba,Iberostar Mehari Djerba,2024-01-14,0.7,71,8,10437,4
Djerba,Vincci Helios Beach,2024-01-14,0.8,171,9,26334,4
Monastir,Hilton Skanes Monastir Beach,2024-01-14,0.98,216,11,60696,5
Monastir,One Resort Monastir,2024-01-14,0.88,114,12,17214,4
Monastir,Delphin El Habib,2024-01-14,0.57,73,7,4891,3
Tunis,Laico Tunis Hotel,2024-01-15,0.83,189,8,19278,4
Tunis,Hotel Africa Tunis,2024-01-15,0.69,116,12,18212,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-15,0.97,194,18,50634,5
Sousse,El Mouradi Palace,2024-01-15,0.89,116,13,17748,4
Sousse,Marhaba Beach Hotel,2024-01-15,0.73,192,13,19968,4
Sousse,Riadh Palms Resort,2024-01-15,0.67,152,10,20672,4
Hammamet,La Badira,2024-01-15,0.89,143,12,40755,5
Hammamet,Iberostar Averroes,2024-01-15,0.91,137,10,21235,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-15,0.98,96,2,28512,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-15,0.86,59,5,18998,5
Djerba,Iberostar Mehari Djerba,2024-01-15,0.76,124,6,20088,4
Djerba,Vincci Helios Beach,2024-01-15,0.76,178,8,27412,4
Monastir,Hilton Skanes Monastir Beach,2024-01-15,0.83,71,5,14058,5
Monastir,One Resort Monastir,2024-01-15,0.71,181,19,20091,4
Monastir,Delphin El Habib,2024-01-15,0.78,103,11,10712,3
Tunis,Laico Tunis Hotel,2024-01-16,0.9,187,9,21692,4
Tunis,Hotel Africa Tunis,2024-01-16,0.87,56,1,7392,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-16,0.98,114,12,37050,5
Sousse,El Mouradi Palace,2024-01-16,0.68,56,4,5656,4
Sousse,Marhaba Beach Hotel,2024-01-16,0.85,152,6,19912,4
Sousse,Riadh Palms Resort,2024-01-16,0.85,97,3,10282,4
Hammamet,La Badira,2024-01-16,0.95,141,6,42018,5
Hammamet,Iberostar Averroes,2024-01-16,0.67,182,12,32396,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-16,0.92,70,6,15610,5
